File,Text Cosine Similarity_experiment,Text Cosine Similarity_baseline,BERT F1_experiment,BERT F1_baseline,Text Cosine Difference,BERT F1 Difference
10_HBMS.docx,0.9122178887736548,0.1330216489713922,0.930990993976593,0.7885807156562805,0.7791962398022626,0.1424102783203125
10_HBMS.docx,0.8960450014706782,0.1330216489713922,0.7641941905021667,0.7885807156562805,0.763023352499286,-0.02438652515411377
10_HBMS.docx,0.7205705060309976,0.1330216489713922,0.7606101632118225,0.7885807156562805,0.5875488570596054,-0.027970552444458008
10_HBMS.docx,0.9228240189875964,0.1330216489713922,0.801116406917572,0.7885807156562805,0.7898023700162041,0.012535691261291504
10_HBMS.docx,0.0327122474382792,0.1330216489713922,0.7718058824539185,0.7885807156562805,-0.10030940153311302,-0.01677483320236206
10_HBMS.docx,0.9153742226181764,0.1330216489713922,0.8291255235671997,0.7885807156562805,0.7823525736467841,0.04054480791091919
07_OTS.docx,0.8823100377360292,0.8949415260450356,0.7635497450828552,0.9284622669219972,-0.0126314883090064,-0.16491252183914196
07_OTS.docx,0.2007564704194362,0.8949415260450356,0.8037707805633545,0.9284622669219972,-0.6941850556255994,-0.12469148635864269
07_OTS.docx,0.7043846869493837,0.8949415260450356,0.7634119987487793,0.9284622669219972,-0.1905568390956519,-0.16505026817321788
07_OTS.docx,0.8744764319072985,0.8949415260450356,0.9414498209953308,0.9284622669219972,-0.020465094137737116,0.01298755407333363
07_OTS.docx,0.8720765631389907,0.8949415260450356,0.9321702122688292,0.9284622669219972,-0.022864962906044894,0.0037079453468320533
07_OTS.docx,0.8825365514462661,0.8949415260450356,0.7641761302947998,0.9284622669219972,-0.012404974598769547,-0.16428613662719738
06_SHAS.docx,0.760902881224838,0.5769669116667008,0.734706699848175,0.7538182735443115,0.18393596955813718,-0.019111573696136475
06_SHAS.docx,0.7933988904934534,0.5769669116667008,0.7715876698493958,0.7538182735443115,0.21643197882675258,0.01776939630508423
06_SHAS.docx,0.2991437528323919,0.5769669116667008,0.7716585993766785,0.7538182735443115,-0.27782315883430886,0.017840325832366943
06_SHAS.docx,0.8850915542750631,0.5769669116667008,0.7656222581863403,0.7538182735443115,0.30812464260836236,0.011803984642028809
06_SHAS.docx,0.805084502737592,0.5769669116667008,0.7546676993370056,0.7538182735443115,0.22811759107089125,0.0008494257926940918
06_SHAS.docx,0.1071541082252986,0.5769669116667008,0.7933234572410583,0.7538182735443115,-0.4698128034414022,0.039505183696746826
01_BTMS.docx,0.9334957819287628,0.9140696378784384,0.8376245498657227,0.9143266081809998,0.01942614405032439,-0.0767020583152771
01_BTMS.docx,0.8430926445687449,0.9140696378784384,0.8908603191375732,0.9143266081809998,-0.07097699330969354,-0.023466289043426514
01_BTMS.docx,0.9284149640211496,0.9140696378784384,0.9380198121070862,0.9143266081809998,0.014345326142711223,0.023693203926086426
01_BTMS.docx,0.6059764101383662,0.9140696378784384,0.7541900873184204,0.9143266081809998,-0.3080932277400722,-0.16013652086257935
01_BTMS.docx,0.9226456840856088,0.9140696378784384,0.916193425655365,0.9143266081809998,0.00857604620717034,0.0018668174743652344
01_BTMS.docx,0.4361296323113472,0.9140696378784384,0.7581918835639954,0.9143266081809998,-0.4779400055670912,-0.1561347246170044
03_LabTracker.docx,0.5722179607281168,0.963586667539274,0.774191677570343,0.9484411478042604,-0.3913687068111572,-0.17424947023391735
03_LabTracker.docx,0.9281102972540604,0.963586667539274,0.7869595289230347,0.9484411478042604,-0.035476370285213665,-0.1614816188812257
03_LabTracker.docx,0.9286850152049976,0.963586667539274,0.7670462727546692,0.9484411478042604,-0.034901652334276445,-0.18139487504959118
03_LabTracker.docx,0.9134633396376868,0.963586667539274,0.943934440612793,0.9484411478042604,-0.050123327901587245,-0.004506707191467396
03_LabTracker.docx,0.9307658399961348,0.963586667539274,0.7685498595237732,0.9484411478042604,-0.0328208275431392,-0.17989128828048717
03_LabTracker.docx,0.9443332867806402,0.963586667539274,0.9441473484039308,0.9484411478042604,-0.01925338075863381,-0.00429379940032959
04_CelO.docx,0.7008290573275632,0.9213580251909336,0.9497686624526978,0.9446905255317688,-0.2205289678633704,0.005078136920928955
04_CelO.docx,0.5441041231663168,0.9213580251909336,0.7640283703804016,0.9446905255317688,-0.3772539020246167,-0.1806621551513672
04_CelO.docx,0.8315270206617182,0.9213580251909336,0.7873926758766174,0.9446905255317688,-0.08983100452921533,-0.15729784965515137
04_CelO.docx,0.9604338197337576,0.9213580251909336,0.9465330839157104,0.9446905255317688,0.03907579454282406,0.0018425583839416504
04_CelO.docx,0.9213188381288836,0.9213580251909336,0.9482632875442504,0.9446905255317688,-3.9187062049972354e-05,0.0035727620124815784
04_CelO.docx,0.839169629493043,0.9213580251909336,0.7984262704849243,0.9446905255317688,-0.0821883956978906,-0.14626425504684448
09_TileO.docx,0.7801096606760964,0.72972813912903,0.7645701766014099,0.7764701843261719,0.05038152154706643,-0.011900007724761963
09_TileO.docx,0.8931742507687592,0.72972813912903,0.8625223636627197,0.7764701843261719,0.16344611163972922,0.08605217933654785
09_TileO.docx,0.5661290153858443,0.72972813912903,0.7441934943199158,0.7764701843261719,-0.16359912374318575,-0.032276690006256104
09_TileO.docx,0.3978042070518576,0.72972813912903,0.7533769011497498,0.7764701843261719,-0.3319239320771724,-0.02309328317642212
09_TileO.docx,0.8445900288965437,0.72972813912903,0.7750324010848999,0.7764701843261719,0.11486188976751366,-0.0014377832412719727
09_TileO.docx,0.8184140805019151,0.72972813912903,0.7570411562919617,0.7764701843261719,0.0886859413728851,-0.019429028034210205
02_H2S.docx,0.9156072583810292,0.7752352723176507,0.7820472121238708,0.7551581263542175,0.14037198606337853,0.02688908576965332
02_H2S.docx,0.9245766043737382,0.7752352723176507,0.7663993239402771,0.7551581263542175,0.14934133205608757,0.01124119758605957
02_H2S.docx,0.6357763197728165,0.7752352723176507,0.7572476267814636,0.7551581263542175,-0.1394589525448342,0.0020895004272460938
02_H2S.docx,0.9140094115552326,0.7752352723176507,0.9243676662445068,0.7551581263542175,0.13877413923758197,0.1692095398902893
02_H2S.docx,0.5818859819014489,0.7752352723176507,0.7432956695556641,0.7551581263542175,-0.19334929041620175,-0.011862456798553467
02_H2S.docx,0.9215530703273632,0.7752352723176507,0.9246243238449096,0.7551581263542175,0.14631779800971256,0.16946619749069203
05_TSS.docx,0.863639917327145,0.8607945742365118,0.9370301961898804,0.9378297924995422,0.0028453430906331123,-0.0007995963096618652
05_TSS.docx,0.5690780150089563,0.8607945742365118,0.7585864663124084,0.9378297924995422,-0.29171655922755557,-0.1792433261871338
05_TSS.docx,0.8004954195800705,0.8607945742365118,0.7645930051803589,0.9378297924995422,-0.06029915465644131,-0.17323678731918335
05_TSS.docx,0.8331961339282449,0.8607945742365118,0.9391916394233704,0.9378297924995422,-0.02759844030826697,0.001361846923828125
05_TSS.docx,0.790771505120906,0.8607945742365118,0.7840592265129089,0.9378297924995422,-0.07002306911560585,-0.1537705659866333
05_TSS.docx,0.8691629395425875,0.8607945742365118,0.8268407583236694,0.9378297924995422,0.008368365306075654,-0.1109890341758728
08_Block.docx,0.8366070368925124,0.5772750667578856,0.7645600438117981,0.7854979634284973,0.2593319701346267,-0.02093791961669922
08_Block.docx,0.9030349785166524,0.5772750667578856,0.7608401775360107,0.7854979634284973,0.32575991175876673,-0.024657785892486572
08_Block.docx,0.0727436632238503,0.5772750667578856,0.7685574293136597,0.7854979634284973,-0.5045314035340354,-0.016940534114837646
08_Block.docx,0.8869908961316239,0.5772750667578856,0.7458586692810059,0.7854979634284973,0.3097158293737382,-0.039639294147491455
08_Block.docx,0.7760818903005717,0.5772750667578856,0.800499677658081,0.7854979634284973,0.19880682354268608,0.01500171422958374
08_Block.docx,0.0359835106077888,0.5772750667578856,0.7775008082389832,0.7854979634284973,-0.5412915561500968,-0.00799715518951416
