Parameter Set,Parameters,Cosine Similarity,BERT Score (F1)
1,"{'temperature': 0.6, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.17686708869970652,0.7439014792442322
2,"{'temperature': 0.6, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 3072}",0.5595631295303601,0.7765383005142212
3,"{'temperature': 0.6, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 4096}",0.5525777809481704,0.7963614821434021
4,"{'temperature': 0.6, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 8192}",0.5485489441666334,0.7557785391807557
5,"{'temperature': 0.6, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.3554282133957093,0.7394418239593505
6,"{'temperature': 0.6, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.5202486484835475,0.7347663879394531
7,"{'temperature': 0.6, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.16142928049877475,0.7304755330085755
8,"{'temperature': 0.6, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.7119267043538619,0.7455771207809448
9,"{'temperature': 0.6, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.5004541085590688,0.754457426071167
10,"{'temperature': 0.6, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.19769097115235645,0.7597402930259705
11,"{'temperature': 0.6, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.38937674357486374,0.7550903558731079
12,"{'temperature': 0.6, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.590945161161009,0.7633951425552368
13,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8942160500490306,0.8208247184753418
14,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.5601303080099937,0.7846769332885742
15,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.9217351429257628,0.7846264243125916
16,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.8214260703183296,0.7679838895797729
17,"{'temperature': 0.7, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8950702204152604,0.7899412393569947
18,"{'temperature': 0.7, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 3072}",0.540339239770127,0.7759042143821716
19,"{'temperature': 0.7, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 4096}",0.6494333445865379,0.7319738984107971
20,"{'temperature': 0.7, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6713964654928571,0.7566920161247254
21,"{'temperature': 0.7, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6259854706795093,0.7642246842384338
22,"{'temperature': 0.7, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.580631230217027,0.79366614818573
23,"{'temperature': 0.7, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7935129734572596,0.7347765922546386
24,"{'temperature': 0.7, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.8304907113573421,0.7621365070343018
25,"{'temperature': 0.7, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.19400370877180234,0.7478795170783996
26,"{'temperature': 0.7, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.20255570804807593,0.732251763343811
27,"{'temperature': 0.7, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.3896692344369317,0.7647621035575867
28,"{'temperature': 0.7, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6864950351094146,0.782238245010376
29,"{'temperature': 0.7, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8099728932939101,0.7919140815734863
30,"{'temperature': 0.7, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.49703258866984007,0.7598464012145996
31,"{'temperature': 0.7, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6909525061757575,0.8081624746322632
32,"{'temperature': 0.7, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.8747585761014156,0.736104416847229
33,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.5566942360526737,0.8010269641876221
34,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6993047028911465,0.758509886264801
35,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 4096}",0.7079929961201431,0.780660355091095
36,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6192319435319813,0.7407870173454285
37,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.7024221335064069,0.7856736421585083
38,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.5381365053188384,0.7443773508071899
39,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7712951777509178,0.7357226729393005
40,"{'temperature': 0.7999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.7956739016352613,0.7866432309150696
41,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.5561364116633712,0.7822415351867675
42,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.342674851448864,0.768135666847229
43,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.9113607865289742,0.8251962184906005
44,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6508101655447974,0.7552797436714173
45,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8957112363443318,0.787021028995514
46,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.913787652364776,0.8211684107780457
47,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8626903802878733,0.7641047716140748
48,"{'temperature': 0.7999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.5697110151918789,0.806747043132782
49,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.5424549723910841,0.7653401255607605
50,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 3072}",0.9122509830923677,0.809722638130188
51,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 4096}",0.6673017839051801,0.7491695642471313
52,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 8192}",0.7336763381560901,0.778948962688446
53,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8927761914214118,0.803146767616272
54,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.5769399544625327,0.7917691349983216
55,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8545854454350825,0.8086477279663086
56,"{'temperature': 0.8999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.9102721209898315,0.8068002462387085
57,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.7198549406964914,0.7958203792572022
58,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6685513101219993,0.7625957131385803
59,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.3815879383843642,0.7570568919181824
60,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6027568473803026,0.7683321118354798
61,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6858229294280871,0.8329179286956787
62,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.7617553466533448,0.8303979277610779
63,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6891564222757718,0.7661648273468018
64,"{'temperature': 0.8999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.6316197176445987,0.8308732867240906
65,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8858213377690973,0.7706823468208313
66,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 3072}",0.9076653498359419,0.8027151942253112
67,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 4096}",0.5538540759001372,0.7399247169494629
68,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6895770991475827,0.7389001250267029
69,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8723448072756792,0.8801972508430481
70,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.6398676024836439,0.7784305691719056
71,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8046232094041509,0.8104876041412353
72,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.8922483502983363,0.7978886604309082
73,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.6932513777287427,0.7883138060569763
74,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8829767498860847,0.8053477048873902
75,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.7598850613701664,0.7370951056480408
76,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6690324870515798,0.7818205237388611
77,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.7832951738759889,0.7820746779441834
78,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.6008240355395797,0.8004607439041138
79,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7592794743341622,0.8350584864616394
80,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.7675252869856133,0.7954655766487122
81,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8734576642546008,0.832509982585907
82,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6475680161837886,0.7845308661460877
83,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 4096}",0.5793946379154826,0.8313037753105164
84,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 8192}",0.822494032221676,0.7849517107009888
85,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.42301696515298,0.8166519403457642
86,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.20584169948299286,0.7320212006568909
87,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.4704797908276346,0.764073121547699
88,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.4810965154539547,0.8208767056465149
89,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.7591386255807927,0.7892029762268067
90,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.9162723744704062,0.821502959728241
91,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.9392847082474585,0.7704464316368103
92,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.7823095637352577,0.7694700002670288
93,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8599549428375417,0.83900386095047
94,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.789278582573979,0.8007077693939209
95,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8614600113355755,0.8368389487266541
96,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.7904097305529988,0.8196403741836548
